Motion Sensor Data File Oct 7, 2021 9:55 AM
Time (s)	Distance (cm)	Dist Error (cm)
0.550	27.024	0.239
0.560	27.015	0.239
0.570	26.968	0.239
0.580	26.899	0.239
0.590	26.826	0.239
0.600	26.706	0.239
0.610	26.568	0.239
0.620	26.422	0.239
0.630	26.241	0.239
0.640	26.039	0.239
0.650	25.846	0.239
0.660	25.605	0.239
0.670	25.360	0.239
0.680	25.119	0.239
0.690	24.853	0.239
0.700	24.573	0.239
0.710	24.302	0.239
0.720	24.014	0.239
0.730	23.730	0.239
0.740	23.455	0.239
0.750	23.167	0.239
0.760	22.888	0.239
0.770	22.626	0.239
0.780	22.359	0.239
0.790	22.101	0.239
0.800	21.869	0.239
0.810	21.641	0.239
0.820	21.426	0.239
0.830	21.241	0.239
0.840	21.069	0.239
0.850	20.906	0.239
0.860	20.785	0.239
0.870	20.674	0.239
0.880	20.579	0.239
0.890	20.523	0.239
0.900	20.485	0.239
0.910	20.463	0.239
0.920	20.485	0.239
0.930	20.511	0.239
0.940	20.566	0.239
0.950	20.665	0.239
0.960	20.769	0.239
0.970	20.885	0.239
0.980	21.052	0.239
0.990	21.211	0.239
1.000	21.401	0.239
1.010	21.616	0.239
1.020	21.835	0.239
1.030	22.071	0.239
1.040	22.329	0.239
1.050	22.587	0.239
1.060	22.850	0.239
1.070	23.134	0.239
1.080	23.413	0.239
1.090	23.688	0.239
1.100	23.981	0.239
1.110	24.260	0.239
1.120	24.539	0.239
1.130	24.823	0.239
1.140	25.081	0.239
1.150	25.326	0.239
1.160	25.580	0.239
1.170	25.808	0.239
1.180	26.010	0.239
1.190	26.221	0.239
1.200	26.393	0.239
1.210	26.547	0.239
1.220	26.689	0.239
1.230	26.805	0.239
1.240	26.891	0.239
1.250	26.964	0.239
1.260	27.007	0.239
1.270	27.020	0.239
1.280	27.025	0.239
1.290	26.991	0.239
1.300	26.930	0.239
1.310	26.866	0.239
1.320	26.763	0.239
1.330	26.629	0.239
1.340	26.496	0.239
1.350	26.320	0.239
1.360	26.139	0.239
1.370	25.937	0.239
1.380	25.718	0.239
1.390	25.481	0.239
1.400	25.241	0.239
1.410	24.974	0.239
1.420	24.704	0.239
1.430	24.441	0.239
1.440	24.157	0.239
1.450	23.869	0.239
1.460	23.594	0.239
1.470	23.306	0.239
1.480	23.022	0.239
1.490	22.760	0.239
1.500	22.489	0.239
1.510	22.231	0.239
1.520	21.995	0.239
1.530	21.763	0.239
1.540	21.539	0.239
1.550	21.350	0.239
1.560	21.161	0.239
1.570	21.002	0.239
1.580	20.860	0.239
1.590	20.744	0.239
1.600	20.640	0.239
1.610	20.572	0.239
1.620	20.516	0.239
1.630	20.490	0.239
1.640	20.494	0.239
1.650	20.516	0.239
1.660	20.559	0.239
1.670	20.640	0.239
1.680	20.735	0.239
1.690	20.843	0.239
1.700	20.997	0.239
1.710	21.148	0.239
1.720	21.328	0.239
1.730	21.531	0.239
1.740	21.746	0.239
1.750	21.969	0.239
1.760	22.219	0.239
1.770	22.472	0.239
1.780	22.730	0.239
1.790	23.010	0.239
1.800	23.285	0.239
1.810	23.564	0.239
1.820	23.857	0.239
1.830	24.136	0.239
1.840	24.407	0.239
1.850	24.687	0.239
1.860	24.953	0.239
1.870	25.211	0.239
1.880	25.469	0.239
1.890	25.693	0.239
1.900	25.912	0.239
1.910	26.127	0.239
1.920	26.299	0.239
1.930	26.471	0.239
1.940	26.617	0.239
1.950	26.742	0.239
1.960	26.841	0.239
1.970	26.923	0.239
1.980	26.974	0.239
1.990	27.000	0.239
2.000	27.017	0.239
2.010	26.992	0.239
2.020	26.944	0.239
2.030	26.888	0.239
2.040	26.798	0.239
2.050	26.673	0.239
2.060	26.553	0.239
2.070	26.390	0.239
2.080	26.209	0.239
2.090	26.020	0.239
2.100	25.809	0.239
2.110	25.573	0.239
2.120	25.336	0.239
2.130	25.087	0.239
2.140	24.820	0.239
2.150	24.558	0.239
2.160	24.270	0.239
2.170	23.982	0.239
2.180	23.711	0.239
2.190	23.423	0.239
2.200	23.140	0.239
2.210	22.873	0.239
2.220	22.602	0.239
2.230	22.335	0.239
2.240	22.095	0.239
2.250	21.854	0.239
2.260	21.630	0.239
2.270	21.432	0.239
2.280	21.235	0.239
2.290	21.067	0.239
2.300	20.921	0.239
2.310	20.788	0.239
2.320	20.680	0.239
2.330	20.586	0.239
2.340	20.534	0.239
2.350	20.496	0.239
2.360	20.478	0.239
2.370	20.500	0.239
2.380	20.534	0.239
2.390	20.594	0.239
2.400	20.693	0.239
2.410	20.792	0.239
2.420	20.917	0.239
2.430	21.080	0.239
2.440	21.248	0.239
2.450	21.433	0.239
2.460	21.648	0.239
2.470	21.867	0.239
2.480	22.104	0.239
2.490	22.362	0.239
2.500	22.620	0.239
2.510	22.882	0.239
2.520	23.170	0.239
2.530	23.445	0.239
2.540	23.721	0.239
2.550	24.009	0.239
2.560	24.288	0.239
2.570	24.563	0.239
2.580	24.843	0.239
2.590	25.101	0.239
2.600	25.342	0.239
2.610	25.591	0.239
2.620	25.819	0.239
2.630	26.021	0.239
2.640	26.227	0.239
2.650	26.399	0.239
2.660	26.546	0.239
2.670	26.688	0.239
2.680	26.804	0.239
2.690	26.881	0.239
2.700	26.954	0.239
2.710	26.993	0.239
2.720	27.006	0.239
2.730	27.006	0.239
2.740	26.967	0.239
2.750	26.907	0.239
2.760	26.842	0.239
2.770	26.731	0.239
2.780	26.597	0.239
2.790	26.464	0.239
2.800	26.288	0.239
2.810	26.103	0.239
2.820	25.905	0.239
2.830	25.677	0.239
2.840	25.441	0.239
2.850	25.204	0.239
2.860	24.938	0.239
2.870	24.667	0.239
2.880	24.400	0.239
2.890	24.121	0.239
2.900	23.837	0.239
2.910	23.562	0.239
2.920	23.274	0.239
2.930	22.995	0.239
2.940	22.728	0.239
2.950	22.461	0.239
2.960	22.203	0.239
2.970	21.971	0.239
2.980	21.739	0.239
2.990	21.515	0.239
3.000	21.331	0.239
3.010	21.146	0.239
3.020	20.987	0.239
3.030	20.849	0.239
3.040	20.733	0.239
3.050	20.634	0.239
3.060	20.566	0.239
3.070	20.514	0.239
3.080	20.488	0.239
3.090	20.497	0.239
3.100	20.518	0.239
3.110	20.566	0.239
3.120	20.652	0.239
3.130	20.746	0.239
3.140	20.854	0.239
3.150	21.013	0.239
3.160	21.163	0.239
3.170	21.344	0.239
3.180	21.550	0.239
3.190	21.761	0.239
3.200	21.989	0.239
3.210	22.243	0.239
3.220	22.492	0.239
3.230	22.750	0.239
3.240	23.034	0.239
3.250	23.309	0.239
3.260	23.584	0.239
3.270	23.881	0.239
3.280	24.156	0.239
3.290	24.427	0.239
3.300	24.707	0.239
3.310	24.968	0.239
3.320	25.226	0.239
3.330	25.480	0.239
3.340	25.704	0.239
3.350	25.919	0.239
3.360	26.134	0.239
3.370	26.306	0.239
3.380	26.473	0.239
3.390	26.620	0.239
3.400	26.740	0.239
3.410	26.839	0.239
3.420	26.916	0.239
3.430	26.964	0.239
3.440	26.986	0.239
3.450	26.998	0.239
3.460	26.973	0.239
3.470	26.925	0.239
3.480	26.869	0.239
3.490	26.775	0.239
3.500	26.650	0.239
3.510	26.525	0.239
3.520	26.358	0.239
3.530	26.181	0.239
3.540	25.984	0.239
3.550	25.777	0.239
3.560	25.541	0.239
3.570	25.304	0.239
3.580	25.051	0.239
3.590	24.784	0.239
3.600	24.526	0.239
3.610	24.243	0.239
3.620	23.954	0.239
3.630	23.679	0.239
3.640	23.395	0.239
3.650	23.116	0.239
3.660	22.849	0.239
3.670	22.578	0.239
3.680	22.316	0.239
3.690	22.080	0.239
3.700	21.839	0.239
3.710	21.616	0.239
3.720	21.422	0.239
3.730	21.229	0.239
3.740	21.061	0.239
3.750	20.915	0.239
3.760	20.790	0.239
3.770	20.683	0.239
3.780	20.605	0.239
3.790	20.541	0.239
3.800	20.506	0.239
3.810	20.506	0.239
3.820	20.515	0.239
3.830	20.554	0.239
3.840	20.627	0.239
3.850	20.713	0.239
3.860	20.812	0.239
3.870	20.958	0.239
3.880	21.104	0.239
3.890	21.272	0.239
