Motion Sensor Data File Oct 7, 2021 10:06 AM
Time (s)	Distance (cm)	Dist Error (cm)
0.290	30.145	0.239
0.300	30.063	0.239
0.310	30.016	0.239
0.320	29.866	0.239
0.330	29.676	0.239
0.340	29.423	0.239
0.350	29.156	0.239
0.360	28.842	0.239
0.370	28.477	0.239
0.380	28.098	0.239
0.390	27.660	0.239
0.400	27.170	0.239
0.410	26.701	0.239
0.420	26.155	0.239
0.430	25.639	0.239
0.440	25.075	0.239
0.450	24.504	0.239
0.460	23.897	0.239
0.470	23.317	0.239
0.480	22.741	0.239
0.490	22.156	0.239
0.500	21.567	0.239
0.510	20.987	0.239
0.520	20.294	0.239
0.530	19.877	0.239
0.540	19.305	0.239
0.550	18.579	0.239
0.560	18.118	0.239
0.570	17.860	0.239
0.580	17.276	0.239
0.590	16.919	0.239
0.600	16.597	0.239
0.610	16.317	0.239
0.620	16.072	0.239
0.630	15.922	0.239
0.640	15.745	0.239
0.650	15.677	0.239
0.660	15.651	0.239
0.670	15.668	0.239
0.680	15.689	0.239
0.690	15.766	0.239
0.700	15.986	0.239
0.710	16.128	0.239
0.720	16.360	0.239
0.730	16.669	0.239
0.740	16.996	0.239
0.750	17.620	0.239
0.760	18.024	0.239
0.770	18.217	0.239
0.780	18.974	0.239
0.790	19.197	0.239
0.800	20.014	0.239
0.810	20.556	0.239
0.820	21.055	0.239
0.830	21.661	0.239
0.840	22.263	0.239
0.850	22.869	0.239
0.860	23.467	0.239
0.870	24.052	0.239
0.880	24.576	0.239
0.890	25.170	0.239
0.900	25.732	0.239
0.910	26.244	0.239
0.920	26.782	0.239
0.930	27.259	0.239
0.940	27.723	0.239
0.950	28.128	0.239
0.960	28.510	0.239
0.970	28.867	0.239
0.980	29.146	0.239
0.990	29.404	0.239
1.000	29.654	0.239
1.010	29.641	0.239
1.020	29.942	0.239
1.030	30.028	0.239
1.040	30.041	0.239
1.050	30.028	0.239
1.060	29.968	0.239
1.070	29.843	0.239
1.080	29.679	0.239
1.090	29.335	0.239
1.100	29.228	0.239
1.110	28.940	0.239
1.120	28.596	0.239
1.130	28.213	0.239
1.140	27.809	0.239
1.150	27.375	0.239
1.160	26.867	0.239
1.170	26.403	0.239
1.180	25.848	0.239
1.190	25.324	0.239
1.200	24.774	0.239
1.210	24.180	0.239
1.220	23.591	0.239
1.230	23.032	0.239
1.240	22.452	0.239
1.250	21.880	0.239
1.260	21.308	0.239
1.270	20.684	0.239
1.280	19.923	0.239
1.290	19.678	0.239
1.300	18.883	0.239
1.310	18.664	0.239
1.320	18.002	0.239
1.330	17.550	0.239
1.340	17.180	0.239
1.350	16.853	0.239
1.360	16.552	0.239
1.370	16.290	0.239
1.380	16.084	0.239
1.390	15.955	0.239
1.400	15.787	0.239
1.410	15.740	0.239
1.420	15.718	0.239
1.430	15.740	0.239
1.440	15.817	0.239
1.450	15.976	0.239
1.460	16.110	0.239
1.470	16.337	0.239
1.480	16.608	0.239
1.490	16.909	0.239
1.500	17.257	0.239
1.510	17.640	0.239
1.520	18.298	0.239
1.530	18.513	0.239
1.540	19.274	0.239
1.550	19.493	0.239
1.560	20.323	0.239
1.570	20.830	0.239
1.580	21.368	0.239
1.590	21.995	0.239
1.600	22.580	0.239
1.610	23.160	0.239
1.620	23.745	0.239
1.630	24.270	0.239
1.640	24.833	0.239
1.650	25.426	0.239
1.660	25.938	0.239
1.670	26.471	0.239
1.680	26.957	0.239
1.690	27.430	0.239
1.700	27.825	0.239
1.710	28.251	0.239
1.720	28.608	0.239
1.730	28.918	0.239
1.740	29.205	0.239
1.750	29.416	0.239
1.760	29.627	0.239
1.770	29.760	0.239
1.780	29.880	0.239
1.790	29.932	0.239
1.800	29.945	0.239
1.810	29.897	0.239
1.820	29.682	0.239
1.830	29.674	0.239
1.840	29.437	0.239
1.850	29.252	0.239
1.860	29.003	0.239
1.870	28.689	0.239
1.880	28.332	0.239
1.890	27.950	0.239
1.900	27.502	0.239
1.910	27.077	0.239
1.920	26.574	0.239
1.930	26.092	0.239
1.940	25.533	0.239
1.950	25.026	0.239
1.960	24.463	0.239
1.970	23.861	0.239
1.980	23.328	0.239
1.990	22.764	0.239
2.000	22.179	0.239
2.010	21.625	0.239
2.020	21.010	0.239
2.030	20.361	0.239
2.040	19.987	0.239
2.050	19.183	0.239
2.060	18.981	0.239
2.070	18.254	0.239
2.080	17.833	0.239
2.090	17.673	0.239
2.100	17.110	0.239
2.110	16.779	0.239
2.120	16.551	0.239
2.130	16.289	0.239
2.140	16.082	0.239
2.150	15.971	0.239
2.160	15.859	0.239
