Motion Sensor Data File Oct 7, 2021 9:55 AM
Time (s)	Velocity (cm/s)
0.550	NaN
0.560	-0.860
0.570	-4.730
0.580	-6.880
0.590	-7.310
0.600	-12.040
0.610	-13.760
0.620	-14.620
0.630	-18.060
0.640	-20.210
0.650	-19.350
0.660	-24.037
0.670	-24.510
0.680	-24.080
0.690	-26.660
0.700	-27.950
0.710	-27.090
0.720	-28.810
0.730	-28.380
0.740	-27.520
0.750	-28.810
0.760	-27.907
0.770	-26.230
0.780	-26.660
0.790	-25.800
0.800	-23.220
0.810	-22.790
0.820	-21.500
0.830	-18.490
0.840	-17.200
0.850	-16.340
0.860	-12.040
0.870	-11.180
0.880	-9.417
0.890	-5.590
0.900	-3.870
0.910	-2.150
0.920	2.150
0.930	2.580
0.940	5.590
0.950	9.890
0.960	10.320
0.970	11.610
0.980	16.770
0.990	15.910
1.000	18.920
1.010	21.500
1.020	21.930
1.030	23.650
1.040	25.800
1.050	25.800
1.060	26.230
1.070	28.380
1.080	27.950
1.090	27.520
1.100	29.240
1.110	27.950
1.120	27.907
1.130	28.380
1.140	25.800
1.150	24.510
1.160	25.370
1.170	22.790
1.180	20.210
1.190	21.070
1.200	17.200
1.210	15.480
1.220	14.190
1.230	11.610
1.240	8.600
1.250	7.310
1.260	4.300
1.270	1.290
1.280	0.473
1.290	-3.440
1.300	-6.020
1.310	-6.450
1.320	-10.320
1.330	-13.330
1.340	-13.330
1.350	-17.630
1.360	-18.060
1.370	-20.210
1.380	-21.930
1.390	-23.650
1.400	-24.080
1.410	-26.660
1.420	-27.047
1.430	-26.230
1.440	-28.380
1.450	-28.810
1.460	-27.520
1.470	-28.810
1.480	-28.380
1.490	-26.230
1.500	-27.090
1.510	-25.800
1.520	-23.607
1.530	-23.220
1.540	-22.360
1.550	-18.920
1.560	-18.920
1.570	-15.910
1.580	-14.190
1.590	-11.610
1.600	-10.320
1.610	-6.880
1.620	-5.590
1.630	-2.580
1.640	0.430
1.650	2.150
1.660	4.300
1.670	8.170
1.680	9.460
1.690	10.750
1.700	15.480
1.710	15.050
1.720	18.060
1.730	20.210
1.740	21.500
1.750	22.360
1.760	24.940
1.770	25.370
1.780	25.800
1.790	27.950
1.800	27.520
1.810	27.950
1.820	29.240
1.830	27.950
1.840	27.090
1.850	27.950
1.860	26.660
1.870	25.800
1.880	25.800
1.890	22.360
1.900	21.930
1.910	21.500
1.920	17.200
1.930	17.200
1.940	14.620
1.950	12.470
1.960	9.890
1.970	8.170
1.980	5.160
1.990	2.580
2.000	1.720
2.010	-2.580
2.020	-4.730
2.030	-5.590
2.040	-9.030
2.050	-12.470
2.060	-12.040
2.070	-16.297
2.080	-18.060
2.090	-18.920
2.100	-21.070
2.110	-23.650
2.120	-23.650
2.130	-24.940
2.140	-26.660
2.150	-26.230
2.160	-28.810
2.170	-28.767
2.180	-27.090
2.190	-28.810
2.200	-28.380
2.210	-26.660
2.220	-27.090
2.230	-26.660
2.240	-24.080
2.250	-24.080
2.260	-22.360
2.270	-19.780
2.280	-19.737
2.290	-16.770
2.300	-14.620
2.310	-13.330
2.320	-10.750
2.330	-9.460
2.340	-5.160
2.350	-3.870
2.360	-1.720
2.370	2.150
2.380	3.440
2.390	6.020
2.400	9.890
2.410	9.890
2.420	12.470
2.430	16.340
2.440	16.770
2.450	18.490
2.460	21.500
2.470	21.930
2.480	23.650
2.490	25.800
2.500	25.800
2.510	26.230
2.520	28.810
2.530	27.520
2.540	27.520
2.550	28.810
2.560	27.950
2.570	27.520
2.580	27.950
2.590	25.800
2.600	24.080
2.610	24.940
2.620	22.790
2.630	20.210
2.640	20.640
2.650	17.200
2.660	14.620
2.670	14.190
2.680	11.610
2.690	7.740
2.700	7.310
2.710	3.870
2.720	1.290
2.730	0.000
2.740	-3.870
2.750	-6.020
2.760	-6.450
2.770	-11.180
2.780	-13.330
2.790	-13.330
2.800	-17.630
2.810	-18.490
2.820	-19.780
2.830	-22.747
2.840	-23.650
2.850	-23.650
2.860	-26.660
2.870	-27.090
2.880	-26.660
2.890	-27.950
2.900	-28.380
2.910	-27.520
2.920	-28.810
2.930	-27.907
2.940	-26.660
2.950	-26.660
2.960	-25.800
2.970	-23.220
2.980	-23.220
2.990	-22.360
3.000	-18.490
3.010	-18.490
3.020	-15.910
3.030	-13.760
3.040	-11.610
3.050	-9.847
3.060	-6.880
3.070	-5.160
3.080	-2.580
3.090	0.860
3.100	2.150
3.110	4.730
3.120	8.600
3.130	9.460
3.140	10.750
3.150	15.910
3.160	15.050
3.170	18.060
3.180	20.640
3.190	21.070
3.200	22.790
3.210	25.370
3.220	24.940
3.230	25.800
3.240	28.380
3.250	27.520
3.260	27.520
3.270	29.670
3.280	27.520
3.290	27.090
3.300	27.950
3.310	26.187
3.320	25.800
3.330	25.370
3.340	22.360
3.350	21.500
3.360	21.500
3.370	17.200
3.380	16.770
3.390	14.620
3.400	12.040
3.410	9.890
3.420	7.740
3.430	4.730
3.440	2.193
3.450	1.290
3.460	-2.580
3.470	-4.730
3.480	-5.590
3.490	-9.460
3.500	-12.470
3.510	-12.470
3.520	-16.770
3.530	-17.630
3.540	-19.780
3.550	-20.640
3.560	-23.650
3.570	-23.650
3.580	-25.370
3.590	-26.617
3.600	-25.800
3.610	-28.380
3.620	-28.810
3.630	-27.520
3.640	-28.380
3.650	-27.950
3.660	-26.660
3.670	-27.090
3.680	-26.230
3.690	-23.607
3.700	-24.080
3.710	-22.360
3.720	-19.350
3.730	-19.350
3.740	-16.770
3.750	-14.620
3.760	-12.470
3.770	-10.750
3.780	-7.740
3.790	-6.450
3.800	-3.440
3.810	0.000
3.820	0.860
3.830	3.870
3.840	7.310
3.850	8.600
3.860	9.933
3.870	14.620
3.880	14.620
3.890	16.770
3.900	20.210
3.910	20.597
3.920	21.500
3.930	24.940
3.940	24.510
3.950	25.370
3.960	27.950
3.970	27.090
3.980	27.520
