Motion Sensor Data File Oct 7, 2021 10:06 AM
Time (s)	Velocity (cm/s)
0.290	1.290
0.300	-8.170
0.310	-4.730
0.320	-15.050
0.330	-18.920
0.340	-25.370
0.350	-26.660
0.360	-31.390
0.370	-36.550
0.380	-37.840
0.390	-43.860
0.400	-49.020
0.410	-46.870
0.420	-54.610
0.430	-51.600
0.440	-56.330
0.450	-57.190
0.460	-60.630
0.470	-58.007
0.480	-57.620
0.490	-58.480
0.500	-58.910
0.510	-58.050
0.520	-69.230
0.530	-41.710
0.540	-57.190
0.550	-72.670
0.560	-46.010
0.570	-25.800
0.580	-58.437
0.590	-35.690
0.600	-32.250
0.610	-27.950
0.620	-24.510
0.630	-15.050
0.640	-17.630
0.650	-6.880
0.660	-2.580
0.670	1.720
0.680	2.150
0.690	7.697
0.700	21.930
0.710	14.190
0.720	23.220
0.730	30.960
0.740	32.680
0.750	62.350
0.760	40.420
0.770	19.350
0.780	75.637
0.790	22.360
0.800	81.700
0.810	54.180
0.820	49.880
0.830	60.630
0.840	60.157
0.850	60.630
0.860	59.770
0.870	58.480
0.880	52.460
0.890	59.340
0.900	56.287
0.910	51.170
0.920	53.750
0.930	47.730
0.940	46.440
0.950	40.420
0.960	38.270
0.970	35.647
0.980	27.950
0.990	25.800
1.000	24.940
1.010	-1.290
1.020	30.100
1.030	8.600
1.040	1.290
1.050	-1.290
1.060	-6.020
1.070	-12.470
1.080	-16.340
1.090	-34.400
1.100	-10.750
1.110	-28.810
1.120	-34.400
1.130	-38.270
1.140	-40.420
1.150	-43.430
1.160	-50.740
1.170	-46.440
1.180	-55.470
1.190	-52.460
1.200	-54.997
1.210	-59.340
1.220	-58.910
1.230	-55.900
1.240	-58.050
1.250	-57.190
1.260	-57.190
1.270	-62.350
1.280	-76.110
1.290	-24.510
1.300	-79.507
1.310	-21.930
1.320	-66.220
1.330	-45.150
1.340	-36.980
1.350	-32.680
1.360	-30.100
1.370	-26.230
1.380	-20.640
1.390	-12.900
1.400	-16.770
1.410	-4.730
1.420	-2.150
1.430	2.150
1.440	7.740
1.450	15.910
1.460	13.330
1.470	22.747
1.480	27.090
1.490	30.100
1.500	34.830
1.510	38.270
1.520	65.790
1.530	21.500
1.540	76.110
1.550	21.887
1.560	82.990
1.570	50.740
1.580	53.750
1.590	62.780
1.600	58.480
1.610	58.007
1.620	58.480
1.630	52.460
1.640	56.330
1.650	59.340
1.660	51.170
1.670	53.277
1.680	48.590
1.690	47.300
1.700	39.560
1.710	42.570
1.720	35.690
1.730	30.960
1.740	28.767
1.750	21.070
1.760	21.070
1.770	13.330
1.780	12.040
1.790	5.160
1.800	1.290
1.810	-4.730
1.820	-21.500
1.830	-0.860
1.840	-23.650
1.850	-18.490
1.860	-24.940
1.870	-31.390
1.880	-35.690
1.890	-38.270
1.900	-44.720
1.910	-42.570
1.920	-50.310
1.930	-48.117
1.940	-55.900
1.950	-50.740
1.960	-56.330
1.970	-60.200
1.980	-53.320
1.990	-56.330
2.000	-58.480
2.010	-55.470
2.020	-61.490
2.030	-64.887
2.040	-37.410
2.050	-80.410
2.060	-20.210
2.070	-72.670
2.080	-42.140
2.090	-15.910
2.100	-56.330
2.110	-33.110
2.120	-22.790
2.130	-26.230
2.140	-20.640
2.150	-11.180
2.160	-11.180
2.170	-5.160
2.180	0.000
2.190	7.310
2.200	10.320
2.210	12.900
2.220	20.640
2.230	31.820
2.240	41.710
2.250	19.307
2.260	27.520
2.270	38.270
2.280	71.380
2.290	18.920
2.300	75.680
2.310	26.230
2.320	79.077
2.330	48.590
2.340	58.050
2.350	60.200
2.360	58.050
2.370	58.050
2.380	54.997
2.390	51.600
2.400	60.630
2.410	53.320
2.420	50.740
2.430	51.170
2.440	46.397
2.450	41.280
2.460	45.150
2.470	36.980
2.480	33.540
2.490	29.670
2.500	24.940
2.510	17.630
2.520	20.210
2.530	9.460
2.540	-4.343
2.550	17.630
2.560	-3.010
2.570	-8.600
2.580	-8.170
2.590	-17.200
2.600	-19.780
2.610	-22.360
2.620	-30.530
2.630	-32.250
2.640	-33.970
2.650	-40.377
2.660	-45.580
2.670	-43.000
2.680	-50.310
2.690	-51.600
2.700	-55.470
2.710	-50.740
2.720	-55.900
2.730	-57.620
2.740	-53.750
2.750	-57.190
2.760	-55.470
2.770	-60.587
2.780	-57.190
2.790	-45.580
2.800	-79.980
2.810	-21.500
2.820	-74.390
2.830	-42.140
2.840	-16.340
2.850	-60.630
2.860	-34.400
2.870	-29.240
2.880	-23.220
2.890	-20.210
2.900	-17.630
2.910	-9.460
2.920	-4.730
2.930	-0.860
2.940	3.870
2.950	3.010
2.960	11.180
2.970	17.200
2.980	22.790
2.990	23.220
3.000	30.960
3.010	57.190
3.020	16.770
3.030	36.937
3.040	53.750
3.050	61.920
3.060	25.370
3.070	75.250
3.080	56.330
3.090	49.837
3.100	58.480
3.110	57.620
3.120	58.480
3.130	55.900
3.140	50.310
3.150	59.297
3.160	53.320
3.170	49.880
3.180	52.890
3.190	47.300
3.200	44.290
3.210	41.710
3.220	38.227
3.230	34.830
3.240	31.390
3.250	27.090
3.260	22.360
3.270	13.760
3.280	20.640
3.290	9.460
3.300	6.450
3.310	-0.430
3.320	-3.870
3.330	-8.170
3.340	-17.200
3.350	-14.620
3.360	-21.070
3.370	-26.230
3.380	-30.530
3.390	-33.540
3.400	-37.840
3.410	-41.710
3.420	-41.710
3.430	-47.300
3.440	-49.450
3.450	-50.310
3.460	-56.760
3.470	-51.170
3.480	-54.610
3.490	-56.287
3.500	-54.180
3.510	-55.470
3.520	-56.330
3.530	-60.630
3.540	-45.580
3.550	-58.480
3.560	-43.430
3.570	-73.530
3.580	-18.060
3.590	-43.000
3.600	-63.640
3.610	-34.357
3.620	-30.960
3.630	-26.230
3.640	-22.790
3.650	-17.630
3.660	-12.900
3.670	-9.890
3.680	-3.870
3.690	1.290
3.700	3.827
3.710	11.610
3.720	13.330
3.730	19.780
3.740	20.640
3.750	28.380
3.760	30.530
3.770	35.690
3.780	64.930
3.790	15.910
3.800	42.527
3.810	77.400
3.820	20.210
3.830	80.410
3.840	54.610
3.850	49.450
3.860	59.727
3.870	56.330
3.880	55.470
3.890	52.030
3.900	56.330
3.910	54.180
3.920	48.547
3.930	54.610
3.940	43.430
3.950	51.170
3.960	42.570
3.970	36.120
3.980	39.130
3.990	31.390
4.000	28.337
4.010	26.660
4.020	20.640
4.030	-1.720
4.040	30.530
4.050	7.310
4.060	2.580
4.070	-0.860
4.080	-6.880
4.090	-13.330
4.100	-11.180
4.110	-24.080
4.120	-20.640
4.130	-25.370
4.140	-32.680
4.150	-35.690
4.160	-41.280
4.170	-39.560
4.180	-45.150
4.190	-50.310
4.200	-46.440
4.210	-54.997
4.220	-49.020
4.230	-52.460
4.240	-58.910
4.250	-50.740
4.260	-55.900
4.270	-55.900
4.280	-58.910
4.290	-47.300
4.300	-56.760
4.310	-71.810
4.320	-47.687
4.330	-19.780
4.340	-69.230
4.350	-39.130
4.360	-35.260
4.370	-30.530
4.380	-27.950
4.390	-26.230
4.400	-20.210
4.410	-15.050
4.420	-8.600
4.430	-8.600
4.440	-2.580
4.450	1.720
4.460	12.040
4.470	8.170
4.480	16.340
4.490	21.027
4.500	25.370
4.510	27.950
4.520	33.110
4.530	35.260
4.540	66.650
4.550	44.720
4.560	16.340
4.570	76.497
4.580	24.940
4.590	77.830
4.600	49.020
4.610	56.330
4.620	56.330
4.630	54.567
4.640	55.470
4.650	50.740
4.660	55.040
4.670	50.310
4.680	53.750
4.690	44.720
4.700	50.697
4.710	41.710
4.720	41.710
4.730	39.130
4.740	34.400
4.750	28.810
4.760	27.520
4.770	21.500
4.780	18.920
4.790	13.287
4.800	9.460
4.810	4.730
4.820	1.290
4.830	-4.300
4.840	-10.750
4.850	-10.320
4.860	-19.780
4.870	-18.490
4.880	-24.940
4.890	-29.670
4.900	-33.970
4.910	-34.400
4.920	-40.420
4.930	-45.107
4.940	-42.570
4.950	-49.020
4.960	-49.450
4.970	-55.470
4.980	-48.590
4.990	-52.890
5.000	-55.040
5.010	-53.320
5.020	-54.610
5.030	-56.330
5.040	-54.137
5.050	-48.160
5.060	-77.830
5.070	-19.780
5.080	-65.790
5.090	-51.600
5.100	-37.840
5.110	-13.760
5.120	-33.540
5.130	-53.320
5.140	-21.930
5.150	-26.230
5.160	-19.780
5.170	-12.900
5.180	-3.440
5.190	-5.160
5.200	0.000
5.210	4.300
5.220	6.450
5.230	14.190
5.240	18.920
5.250	24.510
5.260	27.090
5.270	34.400
5.280	30.917
5.290	33.540
5.300	40.850
