Trial No.,Suspension Voltage (Volts),Upward Voltage,vel up (pixels/sample),vel down (pixels/sample)
1,590,600,-0.306666667,7.38
2,430,500,-2.34,13.1
3,530,600,-1.7,9.88
4,560,600,-0.92,10.6
5,550,600,-0.71,8.476190476
6,260,350,-1.74,3.78
7,360,500,-1.86,4.72
8,470,600,-3.35,10.5
9,180,300,-1.413333333,2.85
10,230,350,-5,10.35
11,250,400,-3.428571429,6.06
12,250,400,-1.94,4.24
13,200,350,-9.3,12.8
14,190,350,-3.85483871,4.657142857
15,90,350,-8.363636364,4.836956522
16,210,400,-3.12,3.6
17,220,400,-2.449275362,3.74
18,230,400,-3.05,3.379310345
19,370,500,-1.417721519,5.68
20,200,350,-3.192307692,7.394736842
21,370,500,-6.275,18.35
22,340,500,-3.366666667,7.6
23,390,550,-3.423728814,7.533333333
24,490,600,-2.583333333,11.11111111
25,480,600,-5.15,8.205882353
26,480,600,-3.225,11.56
27,280,450,-13.66666667,20.68421053
28,300,450,-8.25,16
29,550,600,-2.371428571,26.16666667
30,240,350,-2.557377049,5.62
31,190,350,-4.245901639,4.719298246
32,520,600,-3.853658537,18.77272727
33,370,500,-1.542553191,4.916666667
34,360,500,-2.8,7.65
35,520,600,-4.12,20.65
36,270,450,-5.233333333,7.65
37,270,450,-4.157894737,6.166666667
38,230,400,-8.727272727,12.15
39,530,600,-2.466666667,14.44444444
40,370,550,-3.234375,7.531914894
41,480,600,-2.714285714,5.975
42,230,400,-4.016666667,5.533333333
43,290,450,-3.716666667,6.510638298
44,240,450,-5.5,7.8
45,350,500,-2.65,7.266666667
46,450,600,-3.488888889,11.06896552
47,190,400,-6.80952381,6.566666667
48,250,400,-2.066666667,3.964912281
49,370,550,-4.45,9.857142857
50,130,300,-5.566666667,5.5
